customer_id;age;gender;item_purchased;category;location;size;color;season;review_rating;product_rating;subscription_status;shipping_type;discount_applied;payment_method;frequency_of_purchases;age_group;total_purchase_amount;total_previous_purchase;total_spending;spending_category;freq_of_puchase_days;customer_segmentation
833;58;Male;Jacket;Outerwear;California;L;Blue;Fall;2,5;poorly_rated;Yes;Express;Yes;Cash;Bi-Weekly;senior;80;28;108;high_disc_spending;14;loyal
834;43;Male;Handbag;Accessories;Oklahoma;M;Purple;Fall;3,5;average_rated;Yes;Standard;Yes;Credit Card;Annually;mid_adult;68;11;79;medium_disc_speding;365;new
835;52;Male;Backpack;Accessories;Nevada;M;Indigo;Summer;3,1;average_rated;Yes;Free Shipping;Yes;Credit Card;Weekly;senior;89;18;107;high_disc_spending;7;loyal
836;35;Male;Boots;Footwear;Maryland;L;Indigo;Summer;2,5;poorly_rated;Yes;Next Day Air;Yes;Debit Card;Weekly;early_adult;26;21;47;low_disc_spending;7;loyal
837;23;Male;Gloves;Accessories;West Virginia;L;Violet;Winter;3,9;average_rated;Yes;Store Pickup;Yes;Cash;Bi-Weekly;young;90;22;112;high_disc_spending;14;loyal
838;25;Male;Hoodie;Clothing;Illinois;L;Brown;Spring;4,9;top_rated;Yes;Express;Yes;Cash;Every 3 Months;young;28;33;61;medium_disc_speding;90;returning
839;33;Male;Coat;Outerwear;Kentucky;M;Gray;Spring;4,3;highly_rated;Yes;Express;Yes;Credit Card;Annually;early_adult;29;49;78;medium_disc_speding;365;new
840;48;Male;Shirt;Clothing;Illinois;L;Teal;Spring;2,6;poorly_rated;Yes;Free Shipping;Yes;Debit Card;Every 3 Months;mid_adult;31;10;41;low_disc_spending;90;returning
841;42;Male;Shirt;Clothing;Alabama;L;Teal;Summer;4,2;highly_rated;Yes;2-Day Shipping;Yes;PayPal;Weekly;mid_adult;24;18;42;low_disc_spending;7;loyal
842;55;Male;Sweater;Clothing;Texas;M;Beige;Summer;2,6;poorly_rated;Yes;Store Pickup;Yes;PayPal;Fortnightly;senior;88;28;116;high_disc_spending;14;loyal
843;59;Male;Shirt;Clothing;Missouri;M;Violet;Spring;3,6;average_rated;Yes;Express;Yes;PayPal;Weekly;senior;87;25;112;high_disc_spending;7;loyal
844;65;Male;Hoodie;Clothing;Pennsylvania;S;Beige;Summer;3,2;average_rated;Yes;Express;Yes;PayPal;Weekly;senior;80;6;86;medium_disc_speding;7;loyal
845;59;Male;Sandals;Footwear;Missouri;L;Purple;Winter;4,4;highly_rated;Yes;Express;Yes;Venmo;Bi-Weekly;senior;48;44;92;medium_disc_speding;14;loyal
846;31;Male;Belt;Accessories;Michigan;XL;Charcoal;Winter;3,7;average_rated;Yes;Standard;Yes;Venmo;Monthly;early_adult;21;30;51;medium_disc_speding;30;loyal
847;49;Male;Boots;Footwear;Kentucky;M;Pink;Spring;3,7;average_rated;Yes;Express;Yes;Debit Card;Quarterly;mid_adult;72;42;114;high_disc_spending;90;returning
848;53;Male;Hoodie;Clothing;New Jersey;L;Blue;Fall;4,1;highly_rated;Yes;Standard;Yes;PayPal;Monthly;senior;44;30;74;medium_disc_speding;30;loyal
849;48;Male;Sandals;Footwear;Delaware;M;Lavender;Fall;3,6;average_rated;Yes;Store Pickup;Yes;Credit Card;Bi-Weekly;mid_adult;73;33;106;high_disc_spending;14;loyal
850;23;Male;Jeans;Clothing;Missouri;S;Charcoal;Spring;4,3;highly_rated;Yes;Express;Yes;PayPal;Quarterly;young;61;24;85;medium_disc_speding;90;returning
851;68;Male;Shoes;Footwear;Connecticut;L;Turquoise;Winter;2,6;poorly_rated;Yes;Store Pickup;Yes;Venmo;Monthly;senior;20;13;33;low_disc_spending;30;loyal
852;35;Male;Sandals;Footwear;Massachusetts;M;Red;Summer;2,9;poorly_rated;Yes;Express;Yes;Debit Card;Monthly;early_adult;86;19;105;high_disc_spending;30;loyal
853;34;Male;Dress;Clothing;Florida;L;Yellow;Spring;4,2;highly_rated;Yes;Next Day Air;Yes;Debit Card;Every 3 Months;early_adult;60;23;83;medium_disc_speding;90;returning
854;62;Male;Hat;Accessories;Delaware;L;Orange;Winter;4;highly_rated;Yes;Free Shipping;Yes;Cash;Monthly;senior;43;35;78;medium_disc_speding;30;loyal
855;21;Male;Pants;Clothing;California;L;Blue;Spring;4,3;highly_rated;Yes;Free Shipping;Yes;Venmo;Monthly;young;44;22;66;medium_disc_speding;30;loyal
856;70;Male;Socks;Clothing;Oregon;L;Gold;Spring;3;average_rated;Yes;2-Day Shipping;Yes;Credit Card;Quarterly;senior;76;14;90;medium_disc_speding;90;returning
857;55;Male;Shirt;Clothing;Alaska;M;Gold;Summer;3,5;average_rated;Yes;Express;Yes;Debit Card;Fortnightly;senior;33;47;80;medium_disc_speding;14;loyal
858;43;Male;Shorts;Clothing;Missouri;L;Cyan;Fall;3;average_rated;Yes;Standard;Yes;Debit Card;Every 3 Months;mid_adult;60;50;110;high_disc_spending;90;returning
859;19;Male;Jacket;Outerwear;Oklahoma;L;Olive;Fall;3,1;average_rated;Yes;Free Shipping;Yes;PayPal;Weekly;young;26;33;59;medium_disc_speding;7;loyal
860;47;Male;Hoodie;Clothing;Wisconsin;M;Teal;Winter;4;highly_rated;Yes;Next Day Air;Yes;Debit Card;Monthly;mid_adult;73;7;80;medium_disc_speding;30;loyal
861;26;Male;Shoes;Footwear;South Carolina;M;Maroon;Spring;4,1;highly_rated;Yes;Standard;Yes;Cash;Monthly;early_adult;87;3;90;medium_disc_speding;30;loyal
862;46;Male;Skirt;Clothing;Virginia;XL;Green;Spring;3,8;average_rated;Yes;2-Day Shipping;Yes;Credit Card;Every 3 Months;mid_adult;100;35;135;high_disc_spending;90;returning
863;19;Male;Coat;Outerwear;Arkansas;M;Charcoal;Winter;4,9;top_rated;Yes;Standard;Yes;PayPal;Fortnightly;young;84;13;97;medium_disc_speding;14;loyal
864;49;Male;Sneakers;Footwear;Vermont;M;Cyan;Summer;3,9;average_rated;Yes;Standard;Yes;PayPal;Fortnightly;mid_adult;41;42;83;medium_disc_speding;14;loyal
865;51;Male;Jeans;Clothing;Kentucky;S;Charcoal;Winter;3,9;average_rated;Yes;Next Day Air;Yes;PayPal;Annually;senior;59;5;64;medium_disc_speding;365;new
866;64;Male;Blouse;Clothing;Colorado;L;Charcoal;Winter;4,8;top_rated;Yes;Store Pickup;Yes;Venmo;Annually;senior;26;23;49;low_disc_spending;365;new
867;67;Male;Sunglasses;Accessories;New Mexico;M;Lavender;Summer;2,7;poorly_rated;Yes;Free Shipping;Yes;PayPal;Bi-Weekly;senior;69;11;80;medium_disc_speding;14;loyal
868;37;Male;Jacket;Outerwear;Colorado;M;Turquoise;Spring;3,1;average_rated;Yes;Free Shipping;Yes;Bank Transfer;Fortnightly;mid_adult;20;23;43;low_disc_spending;14;loyal
869;40;Male;Dress;Clothing;North Carolina;M;Green;Summer;3,2;average_rated;Yes;Next Day Air;Yes;Credit Card;Every 3 Months;mid_adult;83;2;85;medium_disc_speding;90;returning
870;38;Male;Hat;Accessories;New Hampshire;M;Silver;Spring;2,7;poorly_rated;Yes;2-Day Shipping;Yes;PayPal;Weekly;mid_adult;54;33;87;medium_disc_speding;7;loyal
871;66;Male;Hoodie;Clothing;West Virginia;M;Blue;Fall;2,5;poorly_rated;Yes;Standard;Yes;Bank Transfer;Bi-Weekly;senior;66;6;72;medium_disc_speding;14;loyal
872;47;Male;Handbag;Accessories;Hawaii;M;Charcoal;Spring;2,6;poorly_rated;Yes;Next Day Air;Yes;Debit Card;Quarterly;mid_adult;42;45;87;medium_disc_speding;90;returning
873;56;Male;Jeans;Clothing;North Dakota;M;Pink;Spring;2,9;poorly_rated;Yes;Standard;Yes;Cash;Quarterly;senior;33;25;58;medium_disc_speding;90;returning
874;51;Male;Boots;Footwear;Mississippi;M;Pink;Summer;4,2;highly_rated;Yes;Free Shipping;Yes;Venmo;Quarterly;senior;77;24;101;high_disc_spending;90;returning
875;25;Male;Jacket;Outerwear;Maine;M;Magenta;Fall;4,4;highly_rated;Yes;Free Shipping;Yes;Venmo;Every 3 Months;young;65;10;75;medium_disc_speding;90;returning
876;37;Male;Sandals;Footwear;North Dakota;L;Gray;Summer;4,1;highly_rated;Yes;Free Shipping;Yes;Bank Transfer;Every 3 Months;mid_adult;39;7;46;low_disc_spending;90;returning
877;41;Male;Belt;Accessories;Nebraska;L;Gray;Summer;3,8;average_rated;Yes;2-Day Shipping;Yes;Debit Card;Weekly;mid_adult;51;1;52;medium_disc_speding;7;loyal
878;64;Male;Handbag;Accessories;Nebraska;M;Orange;Winter;4,9;top_rated;Yes;Next Day Air;Yes;Venmo;Every 3 Months;senior;65;45;110;high_disc_spending;90;returning
879;23;Male;Sunglasses;Accessories;Tennessee;S;Black;Summer;4,9;top_rated;Yes;Express;Yes;Debit Card;Weekly;young;89;37;126;high_disc_spending;7;loyal
880;62;Male;Skirt;Clothing;Wyoming;S;Lavender;Spring;4,1;highly_rated;Yes;Free Shipping;Yes;PayPal;Quarterly;senior;76;14;90;medium_disc_speding;90;returning
881;39;Male;Backpack;Accessories;Nevada;L;Red;Spring;3,1;average_rated;Yes;Express;Yes;Debit Card;Monthly;mid_adult;75;25;100;medium_disc_speding;30;loyal
882;52;Male;Sandals;Footwear;South Carolina;M;Silver;Summer;2,7;poorly_rated;Yes;Next Day Air;Yes;Venmo;Annually;senior;61;18;79;medium_disc_speding;365;new
883;50;Male;Boots;Footwear;Virginia;M;Cyan;Fall;3,8;average_rated;Yes;Next Day Air;Yes;Cash;Every 3 Months;mid_adult;35;37;72;medium_disc_speding;90;returning
884;28;Male;Sneakers;Footwear;Pennsylvania;S;Gold;Fall;4,3;highly_rated;Yes;Free Shipping;Yes;Bank Transfer;Monthly;early_adult;37;30;67;medium_disc_speding;30;loyal
885;67;Male;Skirt;Clothing;Hawaii;L;Yellow;Winter;4,1;highly_rated;Yes;Express;Yes;Bank Transfer;Weekly;senior;91;34;125;high_disc_spending;7;loyal
886;41;Male;Dress;Clothing;Ohio;L;Purple;Fall;4,4;highly_rated;Yes;Free Shipping;Yes;Debit Card;Every 3 Months;mid_adult;99;49;148;high_disc_spending;90;returning
887;19;Male;Shorts;Clothing;Utah;S;Brown;Summer;3,6;average_rated;Yes;Express;Yes;Bank Transfer;Monthly;young;54;48;102;high_disc_spending;30;loyal
888;70;Male;Handbag;Accessories;Minnesota;L;Turquoise;Winter;3,3;average_rated;Yes;2-Day Shipping;Yes;PayPal;Fortnightly;senior;47;33;80;medium_disc_speding;14;loyal
889;49;Male;Scarf;Accessories;New Hampshire;S;Gold;Spring;3,8;average_rated;Yes;Express;Yes;Cash;Annually;mid_adult;77;44;121;high_disc_spending;365;new
890;59;Male;Belt;Accessories;Arizona;S;Olive;Fall;2,8;poorly_rated;Yes;Free Shipping;Yes;Venmo;Weekly;senior;84;50;134;high_disc_spending;7;loyal
891;52;Male;Gloves;Accessories;New York;S;Purple;Spring;4,3;highly_rated;Yes;2-Day Shipping;Yes;Credit Card;Monthly;senior;51;47;98;medium_disc_speding;30;loyal
892;20;Male;Skirt;Clothing;Pennsylvania;S;Lavender;Summer;3,9;average_rated;Yes;Store Pickup;Yes;PayPal;Every 3 Months;young;26;24;50;low_disc_spending;90;returning
893;31;Male;Shorts;Clothing;New Mexico;L;Gray;Summer;2,7;poorly_rated;Yes;Free Shipping;Yes;Debit Card;Monthly;early_adult;64;43;107;high_disc_spending;30;loyal
894;33;Male;Backpack;Accessories;Nebraska;M;Red;Spring;4,7;top_rated;Yes;Express;Yes;Venmo;Monthly;early_adult;51;14;65;medium_disc_speding;30;loyal
895;44;Male;Hoodie;Clothing;Wyoming;L;Purple;Spring;3,8;average_rated;Yes;Free Shipping;Yes;Debit Card;Quarterly;mid_adult;60;3;63;medium_disc_speding;90;returning
896;40;Male;Hat;Accessories;Mississippi;XL;Olive;Spring;4,7;top_rated;Yes;Next Day Air;Yes;Debit Card;Quarterly;mid_adult;69;33;102;high_disc_spending;90;returning
897;69;Male;Jewelry;Accessories;Arkansas;M;Lavender;Spring;4,7;top_rated;Yes;Express;Yes;Cash;Fortnightly;senior;29;38;67;medium_disc_speding;14;loyal
898;29;Male;Shirt;Clothing;Illinois;M;Gray;Spring;3,4;average_rated;Yes;Express;Yes;Venmo;Weekly;early_adult;91;46;137;high_disc_spending;7;loyal
899;54;Male;Belt;Accessories;Nevada;L;Red;Spring;3,5;average_rated;Yes;2-Day Shipping;Yes;Bank Transfer;Every 3 Months;senior;70;19;89;medium_disc_speding;90;returning
900;65;Male;Sweater;Clothing;Rhode Island;M;Peach;Summer;4;highly_rated;Yes;Standard;Yes;PayPal;Annually;senior;58;20;78;medium_disc_speding;365;new
901;54;Male;Hat;Accessories;West Virginia;L;Gray;Fall;3,3;average_rated;Yes;Free Shipping;Yes;Bank Transfer;Quarterly;senior;98;42;140;high_disc_spending;90;returning
902;60;Male;Scarf;Accessories;Missouri;L;Violet;Summer;4,7;top_rated;Yes;2-Day Shipping;Yes;Cash;Monthly;senior;68;34;102;high_disc_spending;30;loyal
903;43;Male;Hat;Accessories;Kentucky;M;Beige;Summer;2,8;poorly_rated;Yes;Next Day Air;Yes;Cash;Monthly;mid_adult;44;5;49;low_disc_spending;30;loyal
904;44;Male;Jacket;Outerwear;Washington;M;Blue;Winter;3,3;average_rated;Yes;Express;Yes;PayPal;Quarterly;mid_adult;45;3;48;low_disc_spending;90;returning
905;69;Male;T-shirt;Clothing;Alaska;L;Magenta;Spring;2,9;poorly_rated;Yes;Free Shipping;Yes;PayPal;Every 3 Months;senior;99;46;145;high_disc_spending;90;returning
906;46;Male;Dress;Clothing;Mississippi;S;Cyan;Spring;2,8;poorly_rated;Yes;Standard;Yes;Venmo;Annually;mid_adult;68;16;84;medium_disc_speding;365;new
907;41;Male;Pants;Clothing;South Carolina;M;Red;Spring;4,2;highly_rated;Yes;Standard;Yes;Debit Card;Bi-Weekly;mid_adult;56;21;77;medium_disc_speding;14;loyal
908;32;Male;Sweater;Clothing;Missouri;L;Cyan;Winter;4,4;highly_rated;Yes;Express;Yes;Credit Card;Bi-Weekly;early_adult;43;34;77;medium_disc_speding;14;loyal
909;26;Male;Sunglasses;Accessories;New Jersey;M;Turquoise;Winter;3,6;average_rated;Yes;Free Shipping;Yes;PayPal;Every 3 Months;early_adult;99;9;108;high_disc_spending;90;returning
910;61;Male;Belt;Accessories;Louisiana;L;Silver;Fall;2,7;poorly_rated;Yes;Express;Yes;PayPal;Weekly;senior;56;36;92;medium_disc_speding;7;loyal
911;49;Male;Hoodie;Clothing;South Carolina;S;Pink;Spring;3,4;average_rated;Yes;Express;Yes;Credit Card;Monthly;mid_adult;25;22;47;low_disc_spending;30;loyal
912;53;Male;Pants;Clothing;Vermont;M;Black;Winter;2,8;poorly_rated;Yes;2-Day Shipping;Yes;Bank Transfer;Quarterly;senior;74;2;76;medium_disc_speding;90;returning
913;24;Male;Hoodie;Clothing;Arkansas;M;Green;Winter;3,4;average_rated;Yes;Next Day Air;Yes;Bank Transfer;Monthly;young;56;32;88;medium_disc_speding;30;loyal
914;37;Male;Sneakers;Footwear;Utah;M;Yellow;Fall;2,6;poorly_rated;Yes;Next Day Air;Yes;Cash;Every 3 Months;mid_adult;47;29;76;medium_disc_speding;90;returning
915;43;Male;Dress;Clothing;Washington;L;Purple;Summer;4,1;highly_rated;Yes;Standard;Yes;Venmo;Every 3 Months;mid_adult;67;27;94;medium_disc_speding;90;returning
916;31;Male;Dress;Clothing;Rhode Island;L;Purple;Winter;2,9;poorly_rated;Yes;Store Pickup;Yes;Credit Card;Fortnightly;early_adult;22;33;55;medium_disc_speding;14;loyal
917;49;Male;Jeans;Clothing;Illinois;S;Blue;Spring;2,7;poorly_rated;Yes;Standard;Yes;Venmo;Monthly;mid_adult;34;16;50;low_disc_spending;30;loyal
918;69;Male;Sweater;Clothing;Missouri;M;Maroon;Spring;3,7;average_rated;Yes;Standard;Yes;Bank Transfer;Quarterly;senior;64;11;75;medium_disc_speding;90;returning
919;65;Male;Shorts;Clothing;North Carolina;M;Orange;Spring;4,3;highly_rated;Yes;2-Day Shipping;Yes;Cash;Fortnightly;senior;42;11;53;medium_disc_speding;14;loyal
920;41;Male;Shirt;Clothing;Massachusetts;L;Green;Winter;2,6;poorly_rated;Yes;2-Day Shipping;Yes;Debit Card;Bi-Weekly;mid_adult;82;17;99;medium_disc_speding;14;loyal
921;37;Male;Belt;Accessories;Arkansas;XL;Gold;Summer;4,3;highly_rated;Yes;Free Shipping;Yes;Cash;Weekly;mid_adult;81;37;118;high_disc_spending;7;loyal
922;70;Male;Coat;Outerwear;South Dakota;L;Silver;Summer;4,1;highly_rated;Yes;Express;Yes;PayPal;Weekly;senior;24;18;42;low_disc_spending;7;loyal
923;63;Male;Sneakers;Footwear;Georgia;M;Cyan;Fall;4,2;highly_rated;Yes;Standard;Yes;Credit Card;Monthly;senior;60;13;73;medium_disc_speding;30;loyal
924;55;Male;Shirt;Clothing;Arkansas;M;Silver;Spring;4,2;highly_rated;Yes;2-Day Shipping;Yes;PayPal;Weekly;senior;24;7;31;low_disc_spending;7;loyal
925;52;Male;Socks;Clothing;Kansas;XL;Beige;Winter;3,1;average_rated;Yes;Standard;Yes;Cash;Quarterly;senior;78;37;115;high_disc_spending;90;returning
926;22;Male;Jeans;Clothing;Arizona;L;Teal;Winter;4,9;top_rated;Yes;Express;Yes;Cash;Monthly;young;88;8;96;medium_disc_speding;30;loyal
927;54;Male;Jeans;Clothing;Massachusetts;XL;Green;Spring;4,4;highly_rated;Yes;Express;Yes;Cash;Bi-Weekly;senior;63;11;74;medium_disc_speding;14;loyal
928;28;Male;Sneakers;Footwear;New Mexico;L;Black;Summer;4,4;highly_rated;Yes;Standard;Yes;Venmo;Bi-Weekly;early_adult;78;8;86;medium_disc_speding;14;loyal
929;67;Male;Dress;Clothing;Arkansas;XL;Yellow;Winter;3,4;average_rated;Yes;Store Pickup;Yes;Cash;Every 3 Months;senior;37;31;68;medium_disc_speding;90;returning
930;59;Male;Boots;Footwear;Nebraska;M;White;Fall;4,5;top_rated;Yes;2-Day Shipping;Yes;Debit Card;Fortnightly;senior;94;26;120;high_disc_spending;14;loyal
931;26;Male;T-shirt;Clothing;Hawaii;L;Green;Fall;4,5;top_rated;Yes;Store Pickup;Yes;Credit Card;Bi-Weekly;early_adult;78;20;98;medium_disc_speding;14;loyal
932;24;Male;Coat;Outerwear;Nebraska;M;Silver;Winter;4,1;highly_rated;Yes;Standard;Yes;Bank Transfer;Fortnightly;young;36;24;60;medium_disc_speding;14;loyal
933;62;Male;Skirt;Clothing;Indiana;L;Blue;Winter;3,2;average_rated;Yes;Standard;Yes;Debit Card;Bi-Weekly;senior;24;45;69;medium_disc_speding;14;loyal
934;70;Male;Sneakers;Footwear;Colorado;M;Magenta;Spring;2,7;poorly_rated;Yes;Store Pickup;Yes;Debit Card;Monthly;senior;84;33;117;high_disc_spending;30;loyal
935;45;Male;Jeans;Clothing;Oregon;S;Yellow;Spring;3,7;average_rated;Yes;Express;Yes;Bank Transfer;Monthly;mid_adult;47;21;68;medium_disc_speding;30;loyal
936;58;Male;Hoodie;Clothing;Ohio;L;White;Fall;2,6;poorly_rated;Yes;Store Pickup;Yes;Bank Transfer;Fortnightly;senior;51;2;53;medium_disc_speding;14;loyal
937;31;Male;Shoes;Footwear;Maine;M;Pink;Summer;2,7;poorly_rated;Yes;Free Shipping;Yes;Cash;Weekly;early_adult;84;28;112;high_disc_spending;7;loyal
938;32;Male;Shorts;Clothing;Iowa;M;Magenta;Summer;2,7;poorly_rated;Yes;Express;Yes;Venmo;Quarterly;early_adult;24;18;42;low_disc_spending;90;returning
939;36;Male;Blouse;Clothing;Wisconsin;S;Teal;Fall;4,8;top_rated;Yes;Free Shipping;Yes;Debit Card;Fortnightly;mid_adult;97;21;118;high_disc_spending;14;loyal
940;25;Male;T-shirt;Clothing;New York;L;Indigo;Winter;4,8;top_rated;Yes;Next Day Air;Yes;Credit Card;Monthly;young;89;24;113;high_disc_spending;30;loyal
941;48;Male;Belt;Accessories;Colorado;S;Maroon;Spring;2,6;poorly_rated;Yes;Store Pickup;Yes;PayPal;Every 3 Months;mid_adult;44;15;59;medium_disc_speding;90;returning
942;39;Male;Handbag;Accessories;Illinois;L;Black;Winter;4,5;top_rated;Yes;2-Day Shipping;Yes;PayPal;Every 3 Months;mid_adult;35;38;73;medium_disc_speding;90;returning
943;26;Male;Dress;Clothing;Arizona;M;Cyan;Winter;3,2;average_rated;Yes;Express;Yes;PayPal;Bi-Weekly;early_adult;91;38;129;high_disc_spending;14;loyal
944;32;Male;Hat;Accessories;Oklahoma;L;Cyan;Winter;3,8;average_rated;Yes;Next Day Air;Yes;Venmo;Fortnightly;early_adult;63;13;76;medium_disc_speding;14;loyal
945;54;Male;Belt;Accessories;Indiana;S;Gray;Spring;4,8;top_rated;Yes;Express;Yes;Cash;Bi-Weekly;senior;97;39;136;high_disc_spending;14;loyal
946;38;Male;Boots;Footwear;Minnesota;M;Violet;Summer;4,1;highly_rated;Yes;Store Pickup;Yes;Venmo;Every 3 Months;mid_adult;38;8;46;low_disc_spending;90;returning
947;46;Male;Coat;Outerwear;Pennsylvania;XL;Blue;Spring;2,8;poorly_rated;Yes;Next Day Air;Yes;PayPal;Quarterly;mid_adult;24;4;28;low_disc_spending;90;returning
948;57;Male;Blouse;Clothing;Indiana;M;Charcoal;Winter;3,9;average_rated;Yes;Store Pickup;Yes;Cash;Every 3 Months;senior;32;6;38;low_disc_spending;90;returning
949;49;Male;Hat;Accessories;Alabama;L;Olive;Summer;4,9;top_rated;Yes;Express;Yes;Venmo;Every 3 Months;mid_adult;90;11;101;high_disc_spending;90;returning
950;33;Male;Jeans;Clothing;Montana;M;Olive;Summer;3,4;average_rated;Yes;Standard;Yes;Venmo;Monthly;early_adult;36;49;85;medium_disc_speding;30;loyal
951;54;Male;Backpack;Accessories;New Mexico;XL;Turquoise;Winter;4,1;highly_rated;Yes;Free Shipping;Yes;PayPal;Quarterly;senior;37;30;67;medium_disc_speding;90;returning
952;47;Male;Dress;Clothing;Alaska;M;Cyan;Summer;2,9;poorly_rated;Yes;Express;Yes;Bank Transfer;Monthly;mid_adult;51;34;85;medium_disc_speding;30;loyal
953;36;Male;Hat;Accessories;Idaho;S;Red;Fall;3,1;average_rated;Yes;2-Day Shipping;Yes;PayPal;Monthly;mid_adult;71;28;99;medium_disc_speding;30;loyal
954;68;Male;Sunglasses;Accessories;Utah;S;Cyan;Spring;3,6;average_rated;Yes;2-Day Shipping;Yes;Venmo;Quarterly;senior;50;36;86;medium_disc_speding;90;returning
955;60;Male;Hat;Accessories;Louisiana;S;Turquoise;Fall;3,5;average_rated;Yes;Standard;Yes;Credit Card;Every 3 Months;senior;74;18;92;medium_disc_speding;90;returning
956;55;Male;Dress;Clothing;Mississippi;L;Lavender;Summer;3,4;average_rated;Yes;Free Shipping;Yes;PayPal;Monthly;senior;75;4;79;medium_disc_speding;30;loyal
957;29;Male;Shirt;Clothing;Mississippi;XL;Cyan;Spring;2,9;poorly_rated;Yes;2-Day Shipping;Yes;Debit Card;Quarterly;early_adult;99;42;141;high_disc_spending;90;returning
958;38;Male;Scarf;Accessories;Indiana;XL;Violet;Spring;4,7;top_rated;Yes;Store Pickup;Yes;Cash;Quarterly;mid_adult;23;11;34;low_disc_spending;90;returning
959;70;Male;Sneakers;Footwear;Washington;XL;Beige;Winter;4,4;highly_rated;Yes;Free Shipping;Yes;Credit Card;Bi-Weekly;senior;53;31;84;medium_disc_speding;14;loyal
960;36;Male;Skirt;Clothing;Nevada;M;Cyan;Spring;2,6;poorly_rated;Yes;Standard;Yes;Cash;Fortnightly;mid_adult;99;12;111;high_disc_spending;14;loyal
961;18;Male;Jewelry;Accessories;Louisiana;XL;Indigo;Spring;4,4;highly_rated;Yes;Standard;Yes;Venmo;Quarterly;young;48;20;68;medium_disc_speding;90;returning
962;62;Male;Boots;Footwear;Pennsylvania;L;Olive;Fall;3,7;average_rated;Yes;Next Day Air;Yes;Debit Card;Quarterly;senior;72;37;109;high_disc_spending;90;returning
963;29;Male;Sunglasses;Accessories;Michigan;L;Green;Spring;4,4;highly_rated;Yes;Standard;Yes;Debit Card;Fortnightly;early_adult;64;26;90;medium_disc_speding;14;loyal
964;21;Male;Boots;Footwear;South Carolina;L;Green;Spring;2,5;poorly_rated;Yes;2-Day Shipping;Yes;Credit Card;Weekly;young;63;14;77;medium_disc_speding;7;loyal
965;42;Male;Sandals;Footwear;Arizona;M;Beige;Spring;2,6;poorly_rated;Yes;Next Day Air;Yes;Venmo;Bi-Weekly;mid_adult;51;12;63;medium_disc_speding;14;loyal
966;43;Male;Boots;Footwear;Delaware;L;Black;Spring;5;top_rated;Yes;Store Pickup;Yes;Credit Card;Annually;mid_adult;55;10;65;medium_disc_speding;365;new
967;58;Male;Dress;Clothing;Kentucky;M;Brown;Spring;4,9;top_rated;Yes;Express;Yes;Cash;Annually;senior;55;19;74;medium_disc_speding;365;new
968;27;Male;Hoodie;Clothing;Georgia;S;Silver;Summer;3,7;average_rated;Yes;Store Pickup;Yes;Cash;Weekly;early_adult;26;4;30;low_disc_spending;7;loyal
969;57;Male;Shorts;Clothing;North Carolina;L;Gray;Summer;3,1;average_rated;Yes;Next Day Air;Yes;Bank Transfer;Quarterly;senior;67;48;115;high_disc_spending;90;returning
970;40;Male;Coat;Outerwear;California;S;Pink;Fall;3,2;average_rated;Yes;Express;Yes;PayPal;Monthly;mid_adult;31;37;68;medium_disc_speding;30;loyal
971;45;Male;Jeans;Clothing;California;S;Maroon;Winter;4,4;highly_rated;Yes;Free Shipping;Yes;Cash;Monthly;mid_adult;66;4;70;medium_disc_speding;30;loyal
972;47;Male;Sunglasses;Accessories;Indiana;M;Cyan;Summer;4,3;highly_rated;Yes;Next Day Air;Yes;Credit Card;Weekly;mid_adult;67;15;82;medium_disc_speding;7;loyal
973;61;Male;Sneakers;Footwear;Colorado;L;Gold;Winter;3;average_rated;Yes;Standard;Yes;Credit Card;Weekly;senior;61;33;94;medium_disc_speding;7;loyal
974;60;Male;Jacket;Outerwear;Colorado;M;Teal;Fall;3,5;average_rated;Yes;2-Day Shipping;Yes;Bank Transfer;Quarterly;senior;75;30;105;high_disc_spending;90;returning
975;69;Male;Skirt;Clothing;North Carolina;M;Beige;Spring;3,6;average_rated;Yes;2-Day Shipping;Yes;Bank Transfer;Monthly;senior;90;23;113;high_disc_spending;30;loyal
976;58;Male;Sweater;Clothing;Washington;M;Olive;Summer;3,8;average_rated;Yes;2-Day Shipping;Yes;Bank Transfer;Weekly;senior;40;2;42;low_disc_spending;7;loyal
977;34;Male;T-shirt;Clothing;Florida;M;Gray;Fall;3,6;average_rated;Yes;Express;Yes;Credit Card;Every 3 Months;early_adult;90;50;140;high_disc_spending;90;returning
978;20;Male;Belt;Accessories;Washington;M;Black;Spring;4,6;top_rated;Yes;Express;Yes;Cash;Bi-Weekly;young;20;34;54;medium_disc_speding;14;loyal
979;56;Male;Gloves;Accessories;Colorado;M;Turquoise;Summer;2,5;poorly_rated;Yes;Standard;Yes;Credit Card;Weekly;senior;40;33;73;medium_disc_speding;7;loyal
980;64;Male;Hat;Accessories;New Hampshire;S;Brown;Fall;3,5;average_rated;Yes;Store Pickup;Yes;Debit Card;Monthly;senior;33;34;67;medium_disc_speding;30;loyal
981;56;Male;Boots;Footwear;Maryland;S;Magenta;Spring;4;highly_rated;Yes;Free Shipping;Yes;PayPal;Every 3 Months;senior;98;39;137;high_disc_spending;90;returning
982;27;Male;Belt;Accessories;Maryland;M;Silver;Spring;3,5;average_rated;Yes;Next Day Air;Yes;Credit Card;Quarterly;early_adult;42;47;89;medium_disc_speding;90;returning
